method,text_id,category,language,complexity,text_length,word_count,extracted_keywords,expected_keywords,accuracy,confidence_score,processing_time,memory_usage,keywords_count,success,metadata
spacy_yake,social_media_en,social_media,en,high,171,20,"['sustainablefashion trends', 'discovered', 'sustainablefashion', 'trends', 'ecofriendly', 'fashiontech', '@patagonia', 'fashiontech', 'patagonia', 'amazing', 'materials', 'Just discovered #sustainablefashion trends', ""@patagonia's new eco-line"", 'The collection', 'organic cotton', 'recycled materials', 'recycled materials', 'eco-line', 'collection', 'features', 'organic', 'cotton', 'recycled', 'collection features', 'features organic', 'organic cotton']","['sustainable fashion', 'patagonia', 'eco-line', 'organic cotton', 'recycled materials', 'ecofriendly', 'fashiontech']",1.157142857142857,1.0,0.017921924591064453,2.265625,26,True,"{'method': 'spacy_yake', 'entities_count': 2, 'noun_chunks_count': 5, 'yake_keywords_count': 19, 'total_candidates': 26, 'final_count': 26}"
rake_nltk,social_media_en,social_media,en,high,171,20,"['line is', 'is amazing', 'amazing 🌱', '🌱 the', 'the collection', 'collection features', 'features organic', 'organic cotton', 'cotton and', 'and recycled', 'recycled materials', 'sustainablefashion trends', 'new eco', 'just discovered', 'patagonia', 'fashiontech', 'ecofriendly']","['sustainable fashion', 'patagonia', 'eco-line', 'organic cotton', 'recycled materials', 'ecofriendly', 'fashiontech']",0.7142857142857143,1.0,0.010499954223632812,3.375,17,True,"{'total_phrases': 7, 'method': 'rake_nltk', 'language': 'en'}"
textrank,social_media_en,social_media,en,high,171,20,[],"['sustainable fashion', 'patagonia', 'eco-line', 'organic cotton', 'recycled materials', 'ecofriendly', 'fashiontech']",0.0,0.0,0.042609214782714844,42.796875,0,False,"{'error': ""name 'Counter' is not defined"", 'method': 'textrank'}"
tf_idf,social_media_en,social_media,en,high,171,20,"['just discovered sustainablefashion trends patagonia s new eco line is amazing the collection features organic cotton and recycled materials ecofriendly fashiontech', 'amazing the', 'amazing the collection', 'and recycled', 'and recycled materials', 'collection features', 'collection features organic', 'cotton and', 'cotton and recycled', 'discovered sustainablefashion', 'discovered sustainablefashion trends', 'eco line', 'eco line is', 'ecofriendly fashiontech', 'features organic', 'features organic cotton', 'is amazing', 'is amazing the', 'just discovered', 'just discovered sustainablefashion']","['sustainable fashion', 'patagonia', 'eco-line', 'organic cotton', 'recycled materials', 'ecofriendly', 'fashiontech']",0.21428571428571427,0.06439024390243903,0.001241922378540039,0.328125,20,True,"{'method': 'tf_idf_enhanced', 'vocab_size': 40, 'corpus_size': 41, 'ngram_range': '(1,3)'}"
keybert,social_media_en,social_media,en,high,171,20,"['patagonia new', 'trends', 'eco line', 'discovered sustainablefashion', 'cotton recycled']","['sustainable fashion', 'patagonia', 'eco-line', 'organic cotton', 'recycled materials', 'ecofriendly', 'fashiontech']",0.04285714285714285,0.73528,9.20607590675354,179.828125,5,False,"{'method': 'keybert_semantic', 'model': 'all-MiniLM-L6-v2', 'diversity': 0.5}"
hybrid_ensemble,social_media_en,social_media,en,high,171,20,"['recycled materials', 'organic cotton', 'The collection', 'collection features', 'features organic', 'is amazing', 'cotton and', 'and recycled', 'line is', 'amazing 🌱', '🌱 the', 'sustainablefashion trends', 'fashiontech', 'just discovered', 'new eco', 'ecofriendly', 'discovered', 'sustainablefashion', 'trends', 'patagonia', '@patagonia', 'amazing', 'materials', 'Just discovered #sustainablefashion trends', ""@patagonia's new eco-line""]","['sustainable fashion', 'patagonia', 'eco-line', 'organic cotton', 'recycled materials', 'ecofriendly', 'fashiontech']",0.7571428571428571,0.9347967479674797,0.020551204681396484,0.0,25,True,"{'method': 'hybrid_ensemble', 'methods_used': ['spacy_yake', 'rake_nltk', 'tf_idf'], 'consensus_score': np.float64(0.9347967479674797), 'total_methods': 3}"
spacy_yake,social_media_en,social_media,en,medium,129,17,"['targeting Gen', 'brands targeting', 'beautytech', 'genz', 'digital', 'beauty brands', 'influencer marketing', 'Gen', 'influencer', 'marketing', 'beauty', 'insights', 'brands', 'targeting', 'Gen Z', 'beautytech', 'influencer marketing', 'beauty brands', 'beauty #marketing']","['influencer marketing', 'beauty brands', 'gen z', 'beautytech', 'beauty', 'marketing', 'digital']",1.3,1.0,0.009415864944458008,0.03125,19,True,"{'method': 'spacy_yake', 'entities_count': 2, 'noun_chunks_count': 3, 'yake_keywords_count': 14, 'total_candidates': 19, 'final_count': 19}"
rake_nltk,social_media_en,social_media,en,medium,129,17,"['need insights', 'insights on', 'on influencer', 'influencer marketing', 'marketing for', 'for beauty', 'beauty brands', 'brands targeting', 'targeting gen', 'gen z', 'marketing', 'influencer', 'beauty', 'genz', 'digital', 'beautytech']","['influencer marketing', 'beauty brands', 'gen z', 'beautytech', 'beauty', 'marketing', 'digital']",1.0,1.0,0.00024700164794921875,0.0,16,True,"{'total_phrases': 7, 'method': 'rake_nltk', 'language': 'en'}"
textrank,social_media_en,social_media,en,medium,129,17,[],"['influencer marketing', 'beauty brands', 'gen z', 'beautytech', 'beauty', 'marketing', 'digital']",0.0,0.0,0.0016520023345947266,0.0,0,False,"{'error': ""name 'Counter' is not defined"", 'method': 'textrank'}"
tf_idf,social_media_en,social_media,en,medium,129,17,"['need insights on influencer marketing for beauty brands targeting gen z beautytech influencer genz beauty marketing digital', 'beauty brands', 'beauty brands targeting', 'beauty marketing', 'beauty marketing digital', 'beautytech influencer', 'beautytech influencer genz', 'brands targeting', 'brands targeting gen', 'for beauty', 'for beauty brands', 'gen z', 'gen z beautytech', 'genz beauty', 'genz beauty marketing', 'influencer genz', 'influencer genz beauty', 'influencer marketing', 'influencer marketing for', 'insights on']","['influencer marketing', 'beauty brands', 'gen z', 'beautytech', 'beauty', 'marketing', 'digital']",0.6,0.08,0.0008890628814697266,0.0,20,True,"{'method': 'tf_idf_enhanced', 'vocab_size': 32, 'corpus_size': 33, 'ngram_range': '(1,3)'}"
keybert,social_media_en,social_media,en,medium,129,17,"['targeting', 'genz', 'marketing digital', 'insights influencer', 'beauty brands']","['influencer marketing', 'beauty brands', 'gen z', 'beautytech', 'beauty', 'marketing', 'digital']",0.2714285714285714,0.7407400000000001,0.3469512462615967,11.390625,5,True,"{'method': 'keybert_semantic', 'model': 'all-MiniLM-L6-v2', 'diversity': 0.5}"
hybrid_ensemble,social_media_en,social_media,en,medium,129,17,"['beauty brands', 'influencer marketing', 'targeting Gen', 'brands targeting', 'Gen Z', 'insights on', 'for beauty', 'need insights', 'on influencer', 'marketing for', 'influencer', 'marketing', 'beauty', 'beautytech', 'genz', 'digital', 'Gen', 'insights', 'brands', 'targeting', 'beauty #marketing', 'need insights on influencer marketing for beauty brands targeting gen z beautytech influencer genz beauty marketing digital', 'beauty brands targeting', 'beauty marketing', 'beauty marketing digital']","['influencer marketing', 'beauty brands', 'gen z', 'beautytech', 'beauty', 'marketing', 'digital']",1.0,0.9457142857142857,0.010360002517700195,0.0,25,True,"{'method': 'hybrid_ensemble', 'methods_used': ['spacy_yake', 'rake_nltk', 'tf_idf'], 'consensus_score': np.float64(0.9457142857142857), 'total_methods': 3}"
spacy_yake,social_media_vi,social_media,vi,high,148,27,"['Việt Nam', 'tại Việt', 'Nam', 'hướng thời', 'thời trang', 'trang bền', 'bền vững', 'vững tại', 'Việt', 'thoitrangbenvung', 'ecofriendly', 'vietnam', 'Các thương', 'Các', 'Xu', 'Việt Nam', 'đang sử', 'vietnam', 'hướng', 'thời', 'trang', 'bền', 'vững', 'tại', 'nghệ xanh', 'xanh', 'Xu hướng', 'thương', 'hiệu', 'đang']","['xu hướng thời trang', 'bền vững', 'việt nam', 'thương hiệu', 'vật liệu tái chế', 'công nghệ xanh', 'thoitrangbenvung', 'ecofriendly']",0.7,1.0,0.01396489143371582,0.0,30,True,"{'method': 'spacy_yake', 'entities_count': 4, 'noun_chunks_count': 1, 'yake_keywords_count': 30, 'total_candidates': 35, 'final_count': 30}"
rake_nltk,social_media_vi,social_media,vi,high,148,27,"['🌱 các', 'các thương', 'thương hiệu', 'hiệu đang', 'đang sử', 'sử dụng', 'dụng vật', 'vật liệu', 'liệu tái', 'tái chế', 'chế và', 'và công', 'công nghệ', 'nghệ xanh', 'xu hướng', 'hướng thời', 'thời trang', 'trang bền', 'bền vững', 'vững tại']","['xu hướng thời trang', 'bền vững', 'việt nam', 'thương hiệu', 'vật liệu tái chế', 'công nghệ xanh', 'thoitrangbenvung', 'ecofriendly']",0.3625,1.0,0.0002830028533935547,0.0,20,True,"{'total_phrases': 5, 'method': 'rake_nltk', 'language': 'en'}"
textrank,social_media_vi,social_media,vi,high,148,27,[],"['xu hướng thời trang', 'bền vững', 'việt nam', 'thương hiệu', 'vật liệu tái chế', 'công nghệ xanh', 'thoitrangbenvung', 'ecofriendly']",0.0,0.0,0.0012128353118896484,0.0,0,False,"{'error': ""name 'Counter' is not defined"", 'method': 'textrank'}"
tf_idf,social_media_vi,social_media,vi,high,148,27,"['nam', 'trang', 'xu', 'xanh thoitrangbenvung', 'xanh', 'ecofriendly vietnam', 'thoitrangbenvung ecofriendly', 'thoitrangbenvung ecofriendly vietnam', 'xanh thoitrangbenvung ecofriendly', 'xanh thoitrangbenvung ecofriendly vietnam', 'nam xanh thoitrangbenvung ecofriendly vietnam', 'trang nam', 'trang nam xanh thoitrangbenvung ecofriendly vietnam', 'xu trang', 'xu trang nam']","['xu hướng thời trang', 'bền vững', 'việt nam', 'thương hiệu', 'vật liệu tái chế', 'công nghệ xanh', 'thoitrangbenvung', 'ecofriendly']",0.1875,0.1301561346558313,0.0008392333984375,0.0,15,True,"{'method': 'tf_idf_enhanced', 'vocab_size': 15, 'corpus_size': 51, 'ngram_range': '(1,3)'}"
keybert,social_media_vi,social_media,vi,high,148,27,"['nghệ xanh', 'và công', 'thời trang', 'xu hướng', 'ecofriendly vietnam']","['xu hướng thời trang', 'bền vững', 'việt nam', 'thương hiệu', 'vật liệu tái chế', 'công nghệ xanh', 'thoitrangbenvung', 'ecofriendly']",0.11249999999999999,0.76072,0.5648248195648193,13.765625,5,True,"{'method': 'keybert_semantic', 'model': 'all-MiniLM-L6-v2', 'diversity': 0.5}"
